1,Can add user,1,add_user
2,Can change user,1,change_user
3,Can delete user,1,delete_user
4,Can view user,1,view_user
5,Can add blog,2,add_blog
6,Can change blog,2,change_blog
7,Can delete blog,2,delete_blog
8,Can view blog,2,view_blog
9,Can add log entry,3,add_logentry
10,Can change log entry,3,change_logentry
11,Can delete log entry,3,delete_logentry
12,Can view log entry,3,view_logentry
13,Can add permission,4,add_permission
14,Can change permission,4,change_permission
15,Can delete permission,4,delete_permission
16,Can view permission,4,view_permission
17,Can add group,5,add_group
18,Can change group,5,change_group
19,Can delete group,5,delete_group
20,Can view group,5,view_group
21,Can add content type,6,add_contenttype
22,Can change content type,6,change_contenttype
23,Can delete content type,6,delete_contenttype
24,Can view content type,6,view_contenttype
25,Can add session,7,add_session
26,Can change session,7,change_session
27,Can delete session,7,delete_session
28,Can view session,7,view_session
